t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
34416.9,61.8399,6844.92,4867.82,6843.83,4876.48,3876.63,1,0.2729,16.1708,2.31,2.07006
34437.7,48.126,6844.92,4867.82,6844.61,4870.29,3854.56,0,0.79237,20.7788,2.31,2.24148
34449.4,85.2951,6847.32,4856.06,6845.13,4866.82,3845.49,1,0.08547,11.724,2.64,2.33821
34467.5,55.1742,6847.32,4856.06,6846.21,4861.49,3826.55,0,0.53858,18.1244,2.64,2.48773
34483.6,62.2177,6847.32,4856.06,6847.18,4856.77,3809.91,0,0.940395,16.0726,2.64,2.62033
34500.2,60.3708,6851.93,4844.98,6848.95,4852.14,3796.14,1,0.354502,16.5643,2.97,2.75699
34517.1,59.1965,6851.93,4844.98,6850.9,4847.46,3778.94,0,0.776825,16.8929,2.97,2.89635
34534.6,57.0457,6858.05,4834.66,6853.24,4842.76,3764.46,1,0.21507,17.5298,3.3,3.04097
34549.6,66.8798,6858.05,4834.66,6855.53,4838.91,3749.5,0,0.588875,14.9522,3.3,3.16433
34567.9,54.4683,6865.47,4825.23,6858.4,4834.21,3734.46,1,0.0478575,18.3593,3.63,3.31579
34584.7,59.6758,6865.47,4825.23,6861.51,4830.26,3717.98,0,0.466787,16.7572,3.63,3.45404
34600.3,63.9824,6865.47,4825.23,6864.41,4826.58,3702.73,0,0.85752,15.6293,3.63,3.58298
34616.8,60.4449,6873.69,4816.49,6867.7,4822.86,3689.87,1,0.27112,16.544,3.96,3.71947
34633.7,59.3511,6873.69,4816.49,6871.16,4819.18,3673.7,0,0.692343,16.8489,3.96,3.85847
34651.8,55.0849,6882.45,4808.29,6874.97,4815.29,3659.54,1,0.146187,18.1538,4.29,4.00824
34667.7,63.1588,6882.45,4808.29,6878.44,4812.05,3644.61,0,0.542015,15.8331,4.29,4.13886
34683.5,63.1257,6882.45,4808.29,6881.91,4808.8,3629.79,0,0.93805,15.8414,4.29,4.26956
34700.9,57.4251,6891.69,4800.63,6885.9,4805.43,3616.7,1,0.3734,17.414,4.62,4.41322
34717.1,61.733,6891.69,4800.63,6889.64,4802.33,3601.79,0,0.77837,16.1988,4.62,4.54686
34734.5,57.7277,6900.93,4792.97,6893.64,4799.01,3589.02,1,0.211437,17.3227,4.95,4.68977
34751,60.3184,6900.93,4792.97,6897.47,4795.84,3574,0,0.625905,16.5787,4.95,4.82655
34767.5,60.8961,6910.17,4785.32,6901.26,4792.69,3562.27,1,0.03644,16.4214,5.28,4.96203
34793.9,37.8713,6910.17,4785.32,6907.36,4787.64,3538.79,0,0.69657,26.4052,5.28,5.17987
34805.6,85.5117,6910.17,4785.32,6910.07,4785.41,3528.48,0,0.988927,11.6943,5.28,5.27635
34817.7,82.3255,6918.44,4776.63,6912.59,4782.78,3520.83,1,0.2926,12.1469,5.61,5.37656
34835.1,57.4633,6918.44,4776.63,6916.19,4779,3505.69,0,0.72766,17.4024,5.61,5.52013
34850.7,64.0685,6926.06,4767.36,6919.34,4775.54,3495.17,1,0.117867,15.6083,5.94,5.6489
34867.7,58.7403,6926.06,4767.36,6922.58,4771.59,3480.58,0,0.54347,17.0241,5.94,5.78934
34886.5,53.3157,6933.25,4757.75,6926.15,4767.24,3467.58,1,0.012375,18.7562,0.27,0.27
34901,68.8444,6933.25,4757.75,6928.76,4763.75,3455.34,0,0.375513,14.5255,0.27,0.27
34917.2,61.8272,6933.25,4757.75,6931.67,4759.86,3441.8,0,0.779865,16.1741,0.27,0.27
34934.5,57.7557,6940.12,4747.91,6934.71,4755.65,3430.32,1,0.212722,17.3143,0.6,0.340198
34951,60.7929,6940.12,4747.91,6937.53,4751.61,3416.77,0,0.623955,16.4493,0.6,0.475905
34967.7,59.715,6946.73,4737.89,6940.4,4747.48,3405.95,1,0.04261,16.7462,0.93,0.614061
34987.1,51.6366,6946.73,4737.89,6943.6,4742.63,3390.24,0,0.526762,19.3661,0.93,0.773831
35001.6,68.8591,6946.73,4737.89,6946,4739,3378.55,0,0.889822,14.5224,0.93,0.893641
35018.3,59.7571,6950.76,4726.59,6947.97,4734.41,3368.03,1,0.308183,16.7344,1.26,1.0317
35034.1,63.4526,6950.76,4726.59,6949.56,4729.96,3355.52,0,0.702178,15.7598,1.26,1.16172
35050.8,59.9445,6952.59,4714.73,6950.98,4725.18,3345.21,1,0.11923,16.6821,1.59,1.29935
35068.1,57.5619,6952.59,4714.73,6951.77,4720.03,3331.63,0,0.553545,17.3726,1.59,1.44267
35087.6,51.4859,6951.73,4702.76,6952.56,4714.26,3319.37,1,0.039115,19.4228,1.92,1.60291
35105.4,56.1681,6951.73,4702.76,6952.17,4708.94,3305.68,0,0.484208,17.8037,1.92,1.74979
