t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
31582.4,60.7334,8650,2750,8650,2750,4106.59,1,0.208778,16.4654
31599.3,59.0409,8650,2750,8650,2750,4088.98,0,0.632213,16.9374
31617.1,56.2506,8650,2750,8650,2750,4070.66,1,0.0766525,17.7776
31634.5,57.428,8650,2750,8650,2750,4052.87,0,0.51198,17.4131
31649.9,64.9106,8650,2750,8650,2750,4037.26,0,0.897125,15.4058
31667,58.5785,8650,2750,8650,2750,4020.1,1,0.323902,17.0711
31682,66.3478,8650,2750,8650,2750,4005.07,0,0.700705,15.0721
31699.6,56.9006,8650,2750,8650,2750,3987.69,1,0.140068,17.5745
31722,44.7191,8650,2750,8650,2750,3965.79,0,0.699112,22.3618
31732.4,96.2733,8650,2750,8650,2750,3955.7,0,0.95879,10.3871
31749.2,59.2758,8641.51,2741.51,8646.77,2746.77,3942.34,1,0.380547,16.8703
31766.3,58.6548,8641.51,2741.51,8643.15,2743.15,3926.01,0,0.80677,17.0489
31782.8,60.6745,8633.03,2733.03,8639.66,2739.66,3913.26,1,0.218805,16.4814
31799.5,59.8004,8633.03,2733.03,8636.11,2736.11,3897.49,0,0.636863,16.7223
31819.6,49.5842,8624.54,2724.54,8631.83,2731.83,3881.51,1,0.141055,20.1677
31832.4,78.1366,8624.54,2724.54,8629.12,2729.12,3869.64,0,0.461008,12.7981
31849,60.454,8624.54,2724.54,8625.61,2725.61,3854.39,0,0.874545,16.5415
31869.7,48.1642,8616.06,2716.06,8621.2,2721.2,3838.27,1,0.393602,20.7623
31883.2,74.1339,8616.06,2716.06,8618.34,2718.34,3826.04,0,0.73083,13.4891
31898.8,64.1758,8607.57,2707.57,8615.04,2715.04,3814.83,1,0.120385,15.5822
31916,58.1139,8607.57,2707.57,8611.39,2711.39,3799.44,0,0.550575,17.2076
31938.9,43.6998,8599.09,2699.09,8606.53,2706.53,3781.97,1,0.12266,22.8834
31950.2,88.8147,8599.09,2699.09,8604.14,2704.14,3772.07,0,0.404145,11.2594
31969.6,51.4139,8599.09,2699.09,8600.02,2700.02,3755.08,0,0.890395,19.45
31982.2,79.3449,8590.6,2690.6,8597.34,2697.34,3746.93,1,0.205475,12.6032
31999.3,58.7134,8590.6,2690.6,8593.73,2693.73,3732.25,0,0.631272,17.0319
32015.5,61.6363,8582.12,2682.12,8590.29,2690.29,3721.13,1,0.0368775,16.2242
32033,57.0382,8582.12,2682.12,8586.57,2686.57,3706.24,0,0.47518,17.5321
32049.7,59.9542,8582.12,2682.12,8583.03,2683.03,3692.19,0,0.892165,16.6794
32066.7,58.8595,8573.63,2673.63,8579.43,2679.43,3680.71,1,0.316905,16.9896
