t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
64514.4,112.236,5250,11624.6,279.157,0,0.686435
64523.5,110.007,5250,11624.6,279.076,0,0.913692
64532.6,109.965,5249.95,11612.6,279.38,1,0.141037
64543.5,91.6893,5249.95,11612.6,279.282,0,0.413698
64552.8,107.688,5249.95,11612.6,279.199,0,0.64585
64561.8,111.224,5249.95,11612.6,279.118,0,0.870623
64571.2,106.61,5249.95,11600.6,279.419,1,0.105122
64585.4,70.318,5249.95,11600.6,279.292,0,0.46065
64595,104.173,5249.95,11600.6,279.206,0,0.700635
64603.9,112.225,5249.95,11600.6,279.126,0,0.923402
64613.5,104.715,5248.05,11588.8,279.425,1,0.162145
64623.8,97.1421,5248.05,11588.8,279.333,0,0.4195
64633,107.704,5248.05,11588.8,279.25,0,0.651618
64642.6,104.55,5248.05,11588.8,279.164,0,0.890737
64652.7,98.9462,5245.03,11577.1,279.458,1,0.1434
64664.3,86.0467,5245.03,11577.1,279.354,0,0.43394
64674.9,94.7212,5245.03,11577.1,279.26,0,0.697873
64684,109.304,5245.03,11577.1,279.178,0,0.926593
64693.4,107.313,5241.32,11565.7,279.479,1,0.159555
64703.4,100.12,5241.32,11565.7,279.39,0,0.409255
64712.7,107.535,5241.32,11565.7,279.307,0,0.641738
64721.8,109.248,5241.32,11565.7,279.225,0,0.870575
64731,109.136,5237.16,11554.5,279.527,1,0.0996475
64741,100.19,5237.16,11554.5,279.437,0,0.349173
64750.3,107.411,5237.16,11554.5,279.354,0,0.581922
64759.5,108.54,5237.16,11554.5,279.272,0,0.812253
64769.2,102.785,5232.68,11543.3,279.568,1,0.0554775
64783.7,68.8734,5232.68,11543.3,279.439,0,0.418463
64793.1,106.191,5232.68,11543.3,279.355,0,0.653888
64803.5,96.9509,5232.68,11543.3,279.263,0,0.91175
64813.6,98.705,5226.86,11532.8,279.555,1,0.16503
64824.7,90.1364,5226.86,11532.8,279.457,0,0.442387
64833.8,109.683,5226.86,11532.8,279.375,0,0.670317
64843,109.139,5226.86,11532.8,279.294,0,0.899382
64852,111.01,5220.35,11522.8,279.596,1,0.124587
64863.1,89.9701,5220.35,11522.8,279.497,0,0.402458
64872,111.958,5220.35,11522.8,279.418,0,0.625755
64882,100.455,5220.35,11522.8,279.329,0,0.874623
64891.6,103.937,5213.48,11512.9,279.625,1,0.115153
64902.4,92.7773,5213.48,11512.9,279.529,0,0.384615
64911.3,111.749,5213.48,11512.9,279.45,0,0.60833
64920.2,112.864,5213.48,11512.9,279.371,0,0.829835
64929.7,104.934,5206.4,11503.2,279.668,1,0.06808
64941.7,83.515,5206.4,11503.2,279.562,0,0.367427
64951.5,101.557,5206.4,11503.2,279.474,0,0.613595
64962.1,94.6593,5206.4,11503.2,279.38,0,0.8777
64974.3,81.702,5199.21,11493.6,279.653,1,0.18369
64988.7,69.5101,5199.21,11493.6,279.525,0,0.54335
64998.2,105.461,5199.21,11493.6,279.441,0,0.780405
65007.6,106.487,5193.8,11482.9,279.738,1,0.015175
65019.6,83.5834,5193.8,11482.9,279.632,0,0.314277
65029.9,96.5363,5193.8,11482.9,279.54,0,0.573247
65042.2,81.5501,5193.8,11482.9,279.432,0,0.879807
65053.6,87.4852,5189.43,11471.7,279.711,1,0.16557
65064.8,89.2379,5189.43,11471.7,279.611,0,0.44572
65073.6,113.564,5189.43,11471.7,279.534,0,0.66586
65082.4,113.876,5189.43,11471.7,279.456,0,0.885397
65091.3,112.011,5185.64,11460.4,279.756,1,0.10859
65102.4,90.6281,5185.64,11460.4,279.659,0,0.384443
65111.5,109.527,5185.64,11460.4,279.578,0,0.612697
65120.4,112.468,5185.64,11460.4,279.5,0,0.834983
65130.6,97.541,5182.16,11448.9,279.788,1,0.091285
65141.8,89.6202,5182.16,11448.9,279.689,0,0.37024
65151.6,101.895,5182.16,11448.9,279.603,0,0.61559
65161.7,99.4362,5182.16,11448.9,279.514,0,0.867007
65171.5,101.326,5178.86,11437.3,279.806,1,0.113735
65182.4,91.9929,5178.86,11437.3,279.71,0,0.385495
65191.5,110.336,5178.86,11437.3,279.63,0,0.612075
65200.4,112.114,5178.86,11437.3,279.551,0,0.835063
65210.4,99.7029,5175.65,11425.8,279.841,1,0.0858075
65221.6,89.633,5175.65,11425.8,279.743,0,0.364722
65230.5,111.837,5175.65,11425.8,279.664,0,0.588262
65240.3,102.686,5175.65,11425.8,279.578,0,0.831722
65249.4,109.443,5172.5,11414.2,279.875,1,0.0601525
65260.7,88.2854,5172.5,11414.2,279.776,0,0.343325
65270.1,106.291,5172.5,11414.2,279.693,0,0.578528
65279.6,106.007,5172.5,11414.2,279.61,0,0.81436
65289.5,100.557,5169.38,11402.6,279.9,1,0.062975
65301,86.8432,5169.38,11402.6,279.798,0,0.35085
65310.5,105.8,5169.38,11402.6,279.715,0,0.587145
65320.1,104.268,5169.38,11402.6,279.631,0,0.826913
65329.8,102.617,5166.28,11391,279.922,1,0.0705375
65363.6,29.5579,5166.28,11391,279.625,0,0.916335
65372,120.026,5164.12,11379.2,279.928,1,0.124623
65383.7,85.2617,5164.12,11379.2,279.825,0,0.417838
65393.5,101.686,5164.12,11379.2,279.739,0,0.663692
65402.7,108.836,5164.12,11379.2,279.659,0,0.893395
65412.8,99.4263,5162.48,11367.3,279.946,1,0.144837
65425.7,77.1498,5162.48,11367.3,279.833,0,0.468883
65435.4,103.808,5162.48,11367.3,279.749,0,0.709713
65443.9,117.48,5162.48,11367.3,279.674,0,0.922515
65452.6,114.405,5161.11,11355.4,279.973,1,0.141037
65463.1,95.4991,5161.11,11355.4,279.881,0,0.40282
65471.9,112.992,5161.11,11355.4,279.804,0,0.624075
65480.5,117.011,5161.11,11355.4,279.729,0,0.83773
