t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay
37263.1,60.8021,13350,12994,13350,13003.4,1836.59,1,0.219887,16.4468,0.539999,0.282562,0.41117,0.912333
37280.6,57.4254,13350,12994,13350,12998.1,1829.35,0,0.655235,17.4139,0.539999,0.426227,0.435347,0.907424
37297.2,60.0154,13350,12982,13350,12993.1,1825.18,1,0.071795,16.6624,0.869999,0.563691,0.41656,0.911237
37315.9,53.6371,13350,12982,13350,12987.5,1817.53,0,0.53789,18.6438,0.869999,0.717503,0.466095,0.90122
37332.6,59.8104,13350,12982,13350,12982.5,1810.73,0,0.955877,16.7195,0.869999,0.855439,0.417987,0.910946
37350.1,57.1899,13350,12970,13350,12977.3,1806.35,1,0.393018,17.4856,1.2,0.999695,0.43714,0.907062
37376.8,37.4696,13350,12958,13350,12969.3,1798.32,1,0.060225,26.6883,1.53,1.21987,0.667207,0.86167
37404.1,36.6178,13350,12958,13350,12961.1,1787.5,0,0.742953,27.3091,1.53,1.44517,0.682728,0.858691
37424.3,49.3849,13350,12946,13350,12955,1782.19,1,0.24918,20.2491,1.86,1.61223,0.506227,0.893185
37441.8,57.3589,13350,12946,13350,12949.8,1775.4,0,0.685032,17.4341,1.86,1.75606,0.435852,0.907322
37458.2,60.7655,13350,12934,13350,12944.8,1771.65,1,0.09645,16.4567,2.19,1.89183,0.411418,0.912283
37474.9,59.9204,13350,12934,13350,12939.8,1765.24,0,0.51367,16.6888,2.19,2.02951,0.41722,0.911102
37491.3,61.1101,13350,12934,13350,12934.9,1758.99,0,0.922768,16.3639,2.19,2.16451,0.409097,0.912755
37507.9,59.942,13350,12922,13350,12929.9,1755.26,1,0.339837,16.6828,2.52,2.30215,0.41707,0.911133
37525.7,56.3184,13350,12922,13350,12924.6,1748.57,0,0.783742,17.7562,2.52,2.44863,0.443905,0.905693
37544.8,52.2499,13350,12910,13350,12918.9,1743.98,1,0.262213,19.1388,2.85,2.60653,0.47847,0.898735
37581.4,27.3259,13350,12898,13350,12907.9,1733,1,0.177095,36.5953,3.18,2.90844,0.914882,0.81534
37616.2,28.7559,13350,12886,13350,12897.4,1722.84,1,0.0464825,34.7755,3.51,3.19534,0.869388,0.823659
37642.5,38.107,13350,12886,13350,12889.6,1713.37,0,0.70253,26.2419,3.51,3.41183,0.656048,0.863818
37667.7,39.5862,13350,12874,13350,12882,1706.86,1,0.334062,25.2613,3.84,3.62024,0.631532,0.868557
37693.3,39.1224,13350,12874,13350,12874.3,1697.82,0,0.973082,25.5608,3.84,3.83112,0.63902,0.867107
37713.5,49.3484,13350,12862,13350,12868.2,1693.2,1,0.479685,20.2641,4.17,3.9983,0.506603,0.89311
37734.6,47.4433,13350,12850,13350,12861.9,1688.33,1,0.00663,21.0778,4.5,4.17219,0.526945,0.889066
37753.2,53.8526,13350,12850,13350,12856.3,1681.92,0,0.47086,18.5692,4.5,4.32538,0.46423,0.901595
37769.2,62.5477,13350,12850,13350,12851.6,1676.44,0,0.870555,15.9878,4.5,4.45728,0.399695,0.914672
37787,56.2275,13350,12838,13350,12846.2,1672.82,1,0.315178,17.7849,4.83,4.60401,0.444622,0.905548
37811.5,40.7586,13350,12838,13350,12838.9,1664.52,0,0.928545,24.5347,4.83,4.80642,0.613367,0.872084
37828.8,57.9304,13350,12826,13350,12833.7,1661.15,1,0.360097,17.2621,5.16,4.94883,0.431552,0.908193
37846.1,57.5642,13350,12826,13350,12828.5,1655.35,0,0.794395,17.3719,5.16,5.09215,0.434298,0.907637
37862.3,61.7738,13350,12814,13350,12823.6,1652.39,1,0.199097,16.1881,5.49,5.2257,0.404703,0.913651
37879.4,58.6607,13350,12814,13350,12818.5,1646.77,0,0.625278,17.0472,5.49,5.36634,0.42618,0.909283
37895.8,60.9752,13350,12802,13350,12813.6,1643.79,1,0.03528,16.4001,5.82,5.50164,0.410002,0.912571
37913.1,57.7714,13350,12802,13350,12808.4,1638.15,0,0.46802,17.3096,5.82,5.64445,0.43274,0.907953
37930.4,57.87,13350,12802,13350,12803.2,1632.56,0,0.900023,17.2801,5.82,5.78701,0.432003,0.908102
37947.6,57.9146,13350,12790,13350,12798,1629.38,1,0.331692,17.2668,0.149999,0.149999,0.43167,0.908169
37965.5,55.8722,13350,12790,13350,12792.7,1623.66,0,0.779142,17.898,0.149999,0.149999,0.44745,0.904977
37981.7,61.8467,13350,12778,13350,12787.8,1620.88,1,0.183368,16.169,0.479999,0.21051,0.404225,0.913748
38000.1,54.2629,13350,12778,13350,12782.3,1615.06,0,0.644087,18.4288,0.479999,0.362548,0.46072,0.902301
38016.3,61.7154,13350,12766,13350,12777.4,1612.31,1,0.0491725,16.2034,0.809999,0.496226,0.405085,0.913573
38034.8,53.9936,13350,12766,13350,12771.9,1606.53,0,0.51219,18.5207,0.809999,0.649021,0.463017,0.901839
38050.7,63.2247,13350,12766,13350,12767.1,1601.63,0,0.907605,15.8166,0.809999,0.779508,0.395415,0.915546
38067.5,59.1975,13350,12754,13350,12762,1598.74,1,0.32992,16.8926,1.14,0.918872,0.422315,0.910067
38085.2,56.5678,13350,12754,13350,12756.7,1593.32,0,0.771868,17.6779,1.14,1.06471,0.441947,0.906089
38101.9,60.0651,13350,12742,13350,12751.7,1590.55,1,0.188083,16.6486,1.47,1.20207,0.416215,0.911307
38119.7,55.955,13350,12742,13350,12746.4,1585.14,0,0.63487,17.8715,1.47,1.34951,0.446788,0.905111
38137.5,56.4296,13350,12730,13350,12741.1,1582.08,1,0.0779,17.7212,1.8,1.49571,0.44303,0.90587
38154.6,58.2086,13350,12730,13350,12735.9,1576.95,0,0.50739,17.1796,1.8,1.63744,0.42949,0.908611
38171.2,60.4215,13350,12730,13350,12730.9,1572.03,0,0.92115,16.5504,1.8,1.77398,0.41376,0.911806
38187.3,62.0536,13350,12718,13350,12726.1,1569.52,1,0.324028,16.1151,2.13,1.90693,0.402878,0.914023
38206.5,51.9967,13350,12718,13350,12720.3,1563.87,0,0.804828,19.232,2.13,2.06559,0.4808,0.898267
38222.8,61.5105,13350,12706,13350,12715.5,1561.36,1,0.211262,16.2574,2.46,2.19972,0.406435,0.913298
38239.9,58.5196,13350,12706,13350,12710.3,1556.4,0,0.63847,17.0883,2.46,2.34069,0.427207,0.909074
38255.9,62.2909,13350,12694,13350,12705.5,1553.99,1,0.0398125,16.0537,2.79,2.47314,0.401343,0.914336
38273.6,56.6926,13350,12694,13350,12700.2,1548.92,0,0.480787,17.639,2.79,2.61866,0.440975,0.906286
38289.6,62.4391,13350,12694,13350,12695.4,1544.35,0,0.881177,16.0156,2.79,2.75079,0.40039,0.914531
38305.4,63.1429,13350,12682,13350,12690.7,1542.06,1,0.277105,15.8371,3.12,2.88144,0.395927,0.915442
38323.5,55.4228,13350,12682,13350,12685.3,1536.96,0,0.728182,18.0431,3.12,3.0303,0.451077,0.904245
38341.3,56.187,13350,12670,13350,12679.9,1534.16,1,0.173125,17.7977,3.45,3.17713,0.444943,0.905484
38358.5,57.9056,13350,12670,13350,12674.7,1529.33,0,0.604863,17.2695,3.45,3.3196,0.431738,0.908156
38380.1,46.495,13350,12658,13350,12668.3,1525.55,1,0.142555,21.5077,3.78,3.49704,0.537692,0.886936
38398.7,53.528,13350,12658,13350,12662.7,1520.39,0,0.6096,18.6818,3.78,3.65117,0.467045,0.901029
38416.1,57.7537,13350,12646,13350,12657.5,1517.81,1,0.0424725,17.3149,4.11,3.79401,0.432873,0.907926
38534.7,8.42907,13350,12610,13350,12621.9,1492.4,3,0.0084,118.637,5.1,4.77277,2.96593,0.515908
38553.9,52.1804,13350,12610,13350,12616.2,1487.37,0,0.487507,19.1643,5.1,4.93088,0.479107,0.898607
38571.4,56.9969,13350,12610,13350,12610.9,1482.8,0,0.926127,17.5448,5.1,5.07562,0.43862,0.906762
38587.8,60.9433,13350,12598,13350,12606,1480.65,1,0.336345,16.4087,5.43,5.21099,0.410217,0.912527
38604.9,58.6008,13350,12598,13350,12600.8,1476.24,0,0.76296,17.0646,5.43,5.35177,0.426615,0.909194
38623,55.2611,13350,12586,13350,12595.4,1473.69,1,0.215357,18.0959,5.76,5.50107,0.452397,0.903979
38646.9,41.7082,13350,12586,13350,12588.2,1467.58,0,0.81476,23.9761,5.76,5.69887,0.599402,0.874806
38663.4,60.6645,13350,12574,13350,12583.3,1465.47,1,0.226863,16.4841,0.0899978,0.0899978,0.412102,0.912143
38682.3,52.8773,13350,12574,13350,12577.6,1460.71,0,0.699655,18.9117,0.0899978,0.0899978,0.472793,0.899874
38698.9,60.4708,13350,12562,13350,12572.6,1458.63,1,0.113077,16.5369,0.419998,0.127313,0.413422,0.911875
38718.1,51.9475,13350,12562,13350,12566.9,1453.83,0,0.594333,19.2502,0.419998,0.286128,0.481255,0.898176
38734.9,59.6933,13350,12550,13350,12561.8,1451.72,1,0.01314,16.7523,0.749998,0.424334,0.418808,0.91078
38752.5,56.8437,13350,12550,13350,12556.6,1447.38,0,0.452942,17.5921,0.749998,0.569469,0.439802,0.906523
38768.8,61.1038,13350,12550,13350,12551.7,1443.37,0,0.862082,16.3656,0.749998,0.704485,0.40914,0.912747
38785.2,61.2081,13350,12538,13350,12546.8,1441.42,1,0.270525,16.3377,1.08,0.839271,0.408442,0.912889
38802.4,58.169,13350,12538,13350,12541.6,1437.24,0,0.700307,17.1913,1.08,0.981099,0.429783,0.908552
38818.3,62.6547,13350,12526,13350,12536.8,1435.4,1,0.09932,15.9605,1.41,1.11277,0.399013,0.914812
38835,59.9197,13350,12526,13350,12531.8,1431.39,0,0.516545,16.689,1.41,1.25046,0.417225,0.911101
38850.9,63.0604,13350,12526,13350,12527,1427.6,0,0.91299,15.8578,1.41,1.38128,0.396445,0.915336
38867.2,61.2145,13350,12514,13350,12522.1,1425.71,1,0.32139,16.336,1.74,1.51606,0.4084,0.912897
38884,59.5564,13350,12514,13350,12517.1,1421.73,0,0.74116,16.7908,1.74,1.65458,0.41977,0.910584
38899.9,62.8883,13350,12502,13350,12512.3,1419.98,1,0.13869,15.9012,2.07,1.78577,0.39753,0.915114
38916.7,59.4513,13350,12502,13350,12507.3,1416.03,0,0.559202,16.8205,2.07,1.92453,0.420512,0.910433
38932.7,62.5911,13350,12502,13350,12502.5,1412.3,0,0.95862,15.9767,2.07,2.05634,0.399417,0.914729
38948.5,63.0883,13350,12490,13350,12497.7,1410.59,1,0.35489,15.8508,2.4,2.18711,0.39627,0.915372
38965.5,59.0626,13350,12490,13350,12492.7,1406.68,0,0.77817,16.9312,2.4,2.32679,0.42328,0.909871
38982.8,57.6146,13350,12478,13350,12487.5,1404.65,1,0.212087,17.3567,2.73,2.46999,0.433917,0.907714
