t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
49831.2,59.1321,9750,12650,857.498,1,0.276837
49847.5,61.5457,9750,12650,855.657,0,0.68304
49865.7,54.692,9750,12650,853.594,1,0.140145
49881.4,63.955,9750,12650,851.838,0,0.531045
49898.9,57.1749,9750,12650,849.882,0,0.9683
49914.1,65.4742,9750,12650,848.181,1,0.35013
49931.1,58.9971,9750,12650,846.302,0,0.77388
49948.7,56.7569,9750,12650,844.357,1,0.214355
49964.7,62.6763,9750,12650,842.603,0,0.61323
49981.3,60.0373,9750,12650,840.781,1,0.0296375
49997.4,62.2681,9750,12650,839.031,0,0.431127
50013.4,62.5227,9750,12650,837.295,0,0.830983
50030.9,57.154,9750,12650,835.405,1,0.268398
50051.4,48.8215,9750,12650,833.202,0,0.780468
50064.4,76.6278,9738.12,12648.3,833.347,1,0.10672
50081.6,58.0461,9738.12,12648.3,831.506,0,0.537413
50099,57.5189,9738.12,12648.3,829.657,0,0.972053
50115.1,62.1875,9726.13,12647.8,829.486,1,0.374063
50131.3,61.6238,9726.13,12647.8,827.771,0,0.77975
50146.5,65.7518,9714.14,12648.2,827.696,1,0.159967
50165.2,53.6939,9714.14,12648.2,825.741,0,0.62557
50183.3,54.9728,9702.15,12648.7,825.359,1,0.08034
50199.5,61.9963,9702.15,12648.7,823.677,0,0.48359
50216.1,60.2192,9702.15,12648.7,821.953,0,0.89874
50231.4,65.3462,9690.16,12649.3,821.881,1,0.281318
50247.8,60.8743,9690.16,12649.3,820.186,0,0.692
50265.1,57.7491,9678.17,12649.9,819.91,1,0.124908
50282.1,58.8633,9678.17,12649.9,818.169,0,0.54962
50298.1,62.5387,9678.17,12649.9,816.537,0,0.949372
50314.2,62.0263,9666.18,12650.2,816.392,1,0.352428
50332.5,54.8071,9666.18,12650.2,814.542,0,0.808572
50348.8,61.4209,9654.18,12650.3,814.385,1,0.2156
50365.2,60.739,9654.18,12650.3,812.727,0,0.627198
50382,59.6801,9642.19,12650.8,812.527,1,0.0460975
50398.3,61.4092,9642.19,12650.8,810.897,0,0.453202
50415.7,57.2223,9642.19,12650.8,809.155,0,0.890095
50430.3,68.5523,9630.21,12651.5,809.179,1,0.25478
50447.7,57.4353,9630.21,12651.5,807.454,0,0.690053
50464.6,59.4527,9618.29,12652.9,807.26,1,0.110555
50480.8,61.4526,9618.29,12652.9,805.658,0,0.517372
50497.3,60.6792,9618.29,12652.9,804.042,0,0.929375
50513.8,60.5173,9606.42,12654.6,803.886,1,0.34248
50530.5,59.8591,9606.42,12654.6,802.258,0,0.760127
50547.4,59.2154,9594.49,12655.9,802.07,1,0.182315
50564.9,57.1161,9594.49,12655.9,800.375,0,0.62002
50581.6,59.8648,9582.53,12657,800.21,1,0.0376275
50598.2,60.544,9582.53,12657,798.621,0,0.45055
50614.1,62.8153,9582.53,12657,797.095,0,0.848543
50630.8,59.6552,9570.56,12656.2,796.932,1,0.267617
50648,58.1622,9570.56,12656.2,795.294,0,0.69745
50665.7,56.5323,9558.75,12654.1,795.047,1,0.139675
