t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
33663.6,64.7429,8650,5050,1652.1,0,0.706338
33679.9,61.4613,8650,5050,1648.9,1,0.113097
33694.7,67.3936,8650,5050,1645.99,0,0.484053
33707.9,75.7748,8650,5050,1643.41,0,0.813977
33721,75.993,8650,5050,1640.85,1,0.142955
33745,41.8015,8650,5050,1636.22,0,0.74102
33760.7,63.3722,8650,5050,1633.17,1,0.135515
33778.5,56.2753,8650,5050,1629.76,0,0.57976
33792,74.4186,8650,5050,1627.18,0,0.915698
33805.7,72.6544,8650,5050,1624.56,1,0.259793
33820.1,69.4006,8650,5050,1621.81,0,0.62002
33831.9,85.1412,8650,5050,1619.59,0,0.91365
33847.7,63.3408,8650,5050,1616.6,1,0.30834
33862.5,67.5671,8650,5050,1613.81,0,0.678343
33874.7,81.4127,8650,5050,1611.51,0,0.98542
33889.3,68.5617,8650,5050,1608.78,1,0.350055
33903.9,68.7678,8650,5050,1606.06,0,0.713597
33917.1,75.4347,8650,5050,1603.6,1,0.04501
33930.9,72.8035,8650,5050,1601.05,0,0.3884
33943.6,78.3914,8650,5050,1598.7,0,0.707313
33956.8,75.9844,8650,5050,1596.27,1,0.0363275
33971.6,67.574,8650,5050,1593.55,0,0.406292
33984.7,76.0052,8650,5050,1591.14,0,0.735218
33997.7,77.4281,8650,5050,1588.79,1,0.0580975
34009.8,82.5048,8650,5050,1586.58,0,0.36111
34022.5,78.8221,8650,5050,1584.28,0,0.67828
34035.3,77.8628,8650,5050,1581.95,0,0.999358
34046.1,92.9273,8650,5050,1580.01,1,0.268385
34058.9,77.6084,8650,5050,1577.69,0,0.590515
34073.6,68.3611,8650,5050,1575.07,0,0.95622
34085.4,84.4573,8650,5050,1572.95,1,0.252227
34098.3,77.3766,8650,5050,1570.65,0,0.575323
34111.3,77.388,8650,5050,1568.35,0,0.89837
34122.8,86.737,8650,5050,1566.3,1,0.186597
34136.6,72.53,8650,5050,1563.86,0,0.531282
34149.6,76.7719,8650,5050,1561.57,0,0.856923
34162,80.7996,8650,5050,1559.39,1,0.16633
34176.3,69.7803,8650,5050,1556.88,0,0.524598
34189.5,75.7714,8650,5050,1554.57,0,0.854537
34200.3,92.8186,8650,5050,1552.69,1,0.12388
34211.4,89.992,8650,5050,1550.76,0,0.401682
34221.9,95.4627,8650,5050,1548.95,0,0.663565
34232,98.5756,8650,5050,1547.19,0,0.917177
34244.9,77.397,8650,5050,1544.96,1,0.240187
34257.9,77.3102,8650,5050,1542.73,0,0.56356
34269.3,87.1148,8650,5050,1540.76,0,0.850537
34281.5,82.6105,8650,5050,1538.69,1,0.153162
34296,68.7318,8650,5050,1536.21,0,0.516895
34307.5,87.1612,8650,5050,1534.26,0,0.80372
34319.3,84.631,8650,5050,1532.25,1,0.09912
34332.1,78.3036,8650,5050,1530.09,0,0.41839
