t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
42665.2,7.17141,13450,11850,13450,11850,646.415,4,0.317537,139.443,0.802017,0.610928,3.48606,0.459373,122.248,0.5029
42828.1,6.14006,13450,11850,13450,11850,638.853,4,0.389158,162.865,1.92202,1.75098,4.07162,0.403106,142.552,0.4883
42963.8,7.36526,13450,11850,13450,11850,632.683,3,0.78347,135.772,2.76202,2.70139,3.39431,0.468875,120.455,0.4769
43110.6,6.81525,13450,11850,13450,11850,626.147,4,0.451712,146.73,3.88202,3.7285,3.66824,0.441073,132.621,0.4926
43265.5,6.4559,13450,11850,13450,11850,619.393,4,0.32414,154.897,5.00202,4.81278,3.87243,0.421428,132.929,0.4209
43464.3,5.02817,13450,11850,13450,11850,610.932,5,0.296127,198.879,0.402018,0.204934,4.97199,0.329735,137.743,0.4797
43611.8,6.78345,13450,11850,13450,11850,604.807,3,0.981568,147.418,1.24202,1.23686,3.68544,0.439384,124.065,0.4319
43741.1,7.73087,13450,11850,13450,11850,599.534,4,0.215355,129.351,2.36202,2.14232,3.23379,0.485975,117.927,0.4225
43871.8,7.65073,13450,11850,13450,11850,594.298,3,0.483018,130.707,3.20202,3.05726,3.26766,0.482315,115.468,0.3934
44036.4,6.0755,13450,11850,13450,11850,587.833,4,0.597907,164.596,4.32202,4.20943,4.11489,0.399233,137.604,0.7887
44192,6.42927,13450,11850,13450,11850,581.851,4,0.486373,155.539,5.44202,5.2982,3.88846,0.419922,132.407,0.4652
44329,7.29648,13450,11850,13450,11850,576.681,3,0.91268,137.052,0.28202,0.25757,3.42631,0.465539,118.019,0.4379
44458.7,7.71068,13450,11850,13450,11850,571.872,4,0.154935,129.69,1.40202,1.1654,3.24225,0.485057,116.354,0.4442
44598,7.18063,13450,11850,13450,11850,566.797,3,0.636522,139.264,2.24202,2.14025,3.48159,0.459832,122.975,0.449
44730,7.57307,13450,11850,13450,11850,562.067,3,0.937695,132.047,3.08202,3.06457,3.30117,0.478722,119.667,0.4441
44943.1,4.69278,13450,11850,13450,11850,554.599,5,0,213.093,4.48202,4.20202,5.32733,0.304599,131.933,0.4581
45100.7,6.34332,13450,11850,13450,11850,549.2,3,0.941153,157.646,5.32202,5.30554,3.94115,0.415014,129.759,0.4679
45255.6,6.45632,13450,11850,13450,11850,543.997,4,0.813325,154.887,0.442021,0.389752,3.87217,0.421452,141.659,0.4916
45419.7,6.09346,13450,11850,13450,11850,538.591,4,0.916083,164.11,1.56202,1.53852,4.10276,0.400315,144.229,0.3992
45557.8,7.24365,13450,11850,13450,11850,534.126,4,0.36738,138.052,2.68202,2.50489,3.4513,0.462951,119.016,0.396
45698,7.1305,13450,11850,13450,11850,529.665,3,0.873445,140.243,3.52202,3.48659,3.50606,0.457327,123.917,0.37
45838.5,7.11784,13450,11850,13450,11850,525.27,4,0.385747,140.492,4.64202,4.47003,3.5123,0.456691,126.58,0.3624
45970.4,7.58373,13450,11850,13450,11850,521.212,3,0.68228,131.861,5.48202,5.39306,3.29653,0.479218,114.557,0.3687
46119.4,6.7119,13450,11850,13450,11850,516.7,4,0.40701,148.989,0.602023,0.435986,3.72473,0.435548,133.154,0.6793
46265.6,6.83912,13450,11850,13450,11850,512.348,4,0.0624525,146.218,1.72202,1.45951,3.65544,0.442335,126.706,0.4165
46485.7,4.54325,13450,11850,13450,11850,505.933,5,0.565117,220.107,3.12202,3.00026,5.50267,0.292912,160.484,0.4891
46672.3,5.35907,13450,11850,13450,11850,500.62,5,0.230102,186.599,4.52202,4.30645,4.66499,0.353115,162.797,0.5954
46848.6,5.6739,13450,11850,13450,11850,495.702,4,0.63624,176.245,5.64202,5.54017,4.40614,0.374112,144.237,0.4275
47073.3,4.45028,13450,11850,13450,11850,489.571,5,0,224.705,1.04202,0.762024,5.61762,0.285494,188.719,0.4688
47273.8,4.98657,13450,11850,13450,11850,484.226,5,0.013465,200.539,2.44202,2.16579,5.01346,0.326697,167.839,0.4232
47460.7,5.34908,13450,11850,13450,11850,479.347,4,0.687168,186.948,3.56202,3.47443,4.6737,0.352429,162.552,0.5741
47613.7,6.53677,13450,11850,13450,11850,475.427,4,0.511685,152.981,4.68202,4.5453,3.82452,0.425957,129.539,0.3811
47759.3,6.87122,13450,11850,13450,11850,471.757,4,0.15005,145.535,5.80203,5.56404,3.63837,0.444024,126.31,0.3622
47979.6,4.53836,13450,11850,13450,11850,466.307,5,0.65865,220.344,1.20203,1.10645,5.5086,0.292524,124.292,0.3781
48130,6.64862,13450,11850,13450,11850,462.659,4,0.418828,150.407,2.32203,2.1593,3.76018,0.432117,125.958,0.4156
48282.7,6.54882,13450,11850,13450,11850,459.013,4,0.236308,152.699,3.44203,3.22819,3.81748,0.426627,135.855,0.3899
48420.2,7.27081,13450,11850,13450,11850,455.778,3,0.674712,137.536,4.28203,4.19095,3.43841,0.464284,120.978,0.4017
48598.1,5.62108,13450,11850,13450,11850,451.66,5,0.12226,177.902,5.68203,5.43626,4.44755,0.370671,156.558,0.5778
48741.6,6.9699,13450,11850,13450,11850,448.393,3,0.709113,143.474,0.522027,0.440579,3.58685,0.449157,118.786,0.4581
48878.2,7.32363,13450,11850,13450,11850,445.328,4,0.122722,136.544,1.64203,1.39639,3.41361,0.46686,117.085,0.3885
49029.5,6.60642,13450,11850,13450,11850,441.978,3,0.906918,151.368,2.48203,2.45596,3.78419,0.429807,133.905,0.6472
49181.5,6.5792,13450,11850,13450,11850,438.665,4,0.70677,151.994,3.60203,3.51992,3.79985,0.428308,135.279,0.4613
49398.2,4.61631,13450,11850,13450,11850,434.028,5,0,216.623,5.00203,4.72203,5.41558,0.298659,153.188,0.4565
49565.4,5.97869,13450,11850,13450,11850,430.514,4,0.181515,167.261,0.122028,0.122028,4.18152,0.393341,130.609,0.4197
49712.5,6.79666,13450,11850,13450,11850,427.47,3,0.859792,147.131,0.962028,0.92277,3.67828,0.440087,129.656,0.409
49881.6,5.91656,13450,11850,13450,11850,424.025,5,0.0852175,169.017,2.36203,2.10589,4.22542,0.389506,156.095,0.5529
50101,4.55681,13450,11850,13450,11850,419.635,5,0.571508,219.452,3.76203,3.64205,5.48629,0.293984,179.949,0.845
50256.6,6.42574,13450,11850,13450,11850,416.576,4,0.462108,155.624,4.88203,4.73142,3.8906,0.419722,123.999,0.3843
50412,6.43559,13450,11850,13450,11850,413.566,4,0.346752,155.386,0.0020299,0.0020299,3.88464,0.42028,138.062,0.4181
50549.7,7.26369,13450,11850,13450,11850,410.936,3,0.78853,137.671,0.84203,0.782818,3.44178,0.463935,121.444,0.4148
50721.6,5.81589,13450,11850,13450,11850,407.697,5,0.0871,171.943,2.24203,1.98642,4.29857,0.3832,159.725,0.5204
50928.2,4.84168,13450,11850,13450,11850,403.873,5,0.2506,206.54,3.64203,3.4322,5.1635,0.31594,119.99,0.491
51084.9,6.38117,13450,11850,13450,11850,401.019,4,0.168378,156.711,4.76203,4.52918,3.91778,0.417185,124.176,0.4858
51239.2,6.47981,13450,11850,13450,11850,398.248,4,0.026515,154.325,5.88203,5.60946,3.85814,0.422774,137.131,0.5559
51415.3,5.67846,13450,11850,13450,11850,395.133,4,0.429118,176.104,1.00203,0.842184,4.4026,0.374407,148.893,0.3924
51544.7,7.73066,13450,11850,13450,11850,392.875,3,0.662995,129.355,1.84203,1.74767,3.23388,0.485965,115.635,0.4021
51687,7.0278,13450,11850,13450,11850,390.421,4,0.220295,142.292,2.96203,2.74371,3.5573,0.452129,131.347,0.3674
51838,6.62112,13450,11850,13450,11850,387.85,3,0.99609,151.032,3.80203,3.80094,3.77579,0.430614,135.775,0.4018
51973.8,7.36405,13450,11850,13450,11850,385.566,4,0.39096,135.795,4.92203,4.7515,3.39487,0.468817,121.643,0.4443
52130.9,6.36472,13450,11850,13450,11850,382.958,4,0.31886,157.116,0.0420327,0.0420327,3.9279,0.416243,134.169,0.4653
52291.9,6.21013,13450,11850,13450,11850,380.321,4,0.344543,161.027,1.16203,0.978505,4.02568,0.407259,139.991,0.4342
52470.9,5.58892,13450,11850,13450,11850,377.434,4,0.817675,178.925,2.28203,2.23098,4.47313,0.36856,122.129,0.5374
52644.6,5.7571,13450,11850,13450,11850,374.672,5,0.160142,173.699,3.68203,3.44687,4.34247,0.379465,151.561,0.5258
52783.5,7.19828,13450,11850,13450,11850,372.492,3,0.633192,138.922,4.52203,4.41933,3.47305,0.460709,116.671,0.3871
52924.1,7.11318,13450,11850,13450,11850,370.312,4,0.147795,140.584,5.64203,5.40342,3.5146,0.456457,125.375,0.4127
53097.4,5.76868,13450,11850,13450,11850,367.658,4,0.481542,173.35,0.762034,0.616866,4.33375,0.380204,136.24,0.739
53246.5,6.70966,13450,11850,13450,11850,365.407,4,0.207512,149.039,1.88203,1.66014,3.72597,0.435428,128.283,0.5376
53398.3,6.58506,13450,11850,13450,11850,363.141,4,0.003985,151.859,3.00203,2.72315,3.79647,0.428631,132.949,0.4602
53526.4,7.80566,13450,11850,13450,11850,361.252,3,0.206787,128.112,3.84203,3.61993,3.2028,0.489346,111.582,0.3552
53657,7.65935,13450,11850,13450,11850,359.346,3,0.47077,130.559,4.68203,4.53385,3.26398,0.482711,116.785,0.6437
53790.4,7.49617,13450,11850,13450,11850,357.42,3,0.805805,133.401,5.52204,5.46766,3.33504,0.475118,116.614,0.4092
53964.2,5.75374,13450,11850,13450,11850,354.941,5,0.150805,173.8,0.922036,0.684261,4.345,0.37925,120.822,0.3879
54102.8,7.21467,13450,11850,13450,11850,352.988,3,0.615968,138.607,1.76204,1.65451,3.46516,0.461521,118.461,0.4606
54241,7.2354,13450,11850,13450,11850,351.063,4,0.0712,138.209,2.88204,2.62197,3.45523,0.462544,121.199,0.4266
54373.7,7.53652,13450,11850,13450,11850,349.233,3,0.38838,132.687,3.72204,3.55078,3.31718,0.477015,115.816,0.4098
