t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
41722.3,64.4396,14522.7,13277.3,14530.2,13269.8,2677.16,1,0.122007,15.5184,4.95,4.66026,0.38796,0.917071,14.5251,0.0367
41738.6,61.5927,14522.7,13277.3,14526.7,13273.3,2664.23,0,0.5279,16.2357,4.95,4.79421,0.405892,0.913408,13.6523,0.0411
41758.1,51.1703,14514.2,13285.8,14522.6,13277.4,2652.37,1,0.016465,19.5426,5.28,4.95543,0.488565,0.896712,17.9245,0.0484
41776.1,55.5642,14514.2,13285.8,14518.8,13281.2,2638.33,0,0.466395,17.9972,5.28,5.10391,0.44993,0.904476,15.0682,0.042
41791,67.0048,14514.2,13285.8,14515.6,13284.4,2626.8,0,0.839503,14.9243,5.28,5.22704,0.373107,0.920115,12.8422,0.0395
41806.8,63.4784,14505.7,13294.3,14512.3,13287.7,2618.23,1,0.233338,15.7534,5.61,5.357,0.393835,0.915869,13.766,0.0426
41823,61.7505,14505.7,13294.3,14508.8,13291.2,2605.92,0,0.638192,16.1942,5.61,5.4906,0.404855,0.91362,13.5572,0.0404
41839.6,60.2413,14497.3,13302.7,14505.3,13294.7,2596.9,1,0.05319,16.5999,5.94,5.62755,0.414997,0.911554,14.7612,0.0563
41856,60.8987,14497.3,13302.7,14501.8,13298.2,2584.64,0,0.463708,16.4207,5.94,5.76302,0.410518,0.912466,14.5412,0.0295
41872.4,61.0967,14497.3,13302.7,14498.3,13301.7,2572.53,0,0.872895,16.3675,5.94,5.89806,0.409187,0.912737,15.3345,0.0412
41888.9,60.3093,14488.8,13311.2,14494.8,13305.2,2563.8,1,0.287425,16.5812,0.27,0.27,0.41453,0.911649,15.5598,0.0448
41905.6,60.1102,14488.8,13311.2,14491.3,13308.7,2551.72,0,0.703327,16.6361,0.27,0.27,0.415902,0.91137,14.6964,0.045
41929.3,42.0773,14480.3,13319.7,14486.3,13313.7,2538.02,1,0.297473,23.7658,0.6,0.368165,0.594145,0.875833,22.3773,0.0923
41967.5,26.1797,14471.8,13328.2,14478.2,13321.8,2514.36,1,0.252412,38.1976,0.93,0.683296,0.95494,0.808084,32.3845,0.0744
41992.9,39.3757,14471.8,13328.2,14472.8,13327.2,2496.7,0,0.887322,25.3964,0.93,0.892816,0.63491,0.867902,20.3831,0.0537
42019.1,38.1693,14463.3,13336.7,14467.2,13332.8,2482.04,1,0.5423,26.1991,1.26,1.10896,0.654978,0.864025,23.1872,0.0611
42043.7,40.7794,14450,13350,14461.3,13338.7,2470.57,1,0.155355,24.5222,0.28,0.28,0.613055,0.872145,21.8181,0.0889
42066.8,43.1347,14450,13350,14453.5,13346.5,2455.05,0,0.734935,23.1832,0.28,0.28,0.57958,0.878684,20.3627,0.0487
42089.1,44.9547,14450,13350,14450,13350,2440.34,1,0.29105,22.2446,0.56,0.361494,0.556115,0.883297,20.6825,0.0693
42111.5,44.5301,14450,13350,14450,13350,2425.66,0,0.852467,22.4567,0.56,0.518691,0.561418,0.882253,18.8704,0.0474
42129.2,56.5342,14450,13350,14450,13350,2414.23,1,0.294677,17.6884,0.84,0.64251,0.44221,0.906036,16.4488,0.0446
42148.9,50.8223,14450,13350,14450,13350,2401.63,0,0.786587,19.6764,0.84,0.780245,0.49191,0.896043,17.3776,0.0471
42166.5,56.8469,14450,13350,14450,13350,2390.48,1,0.226365,17.5911,1.12,0.903382,0.439777,0.906528,16.3676,0.0392
42186.2,50.7555,14450,13350,14450,13350,2378.12,0,0.718922,19.7023,1.12,1.0413,0.492557,0.895914,17.4361,0.0402
42201.1,66.9313,14450,13350,14450,13350,2368.83,1,0.09244,14.9407,1.4,1.14588,0.373518,0.920031,13.9243,0.0433
42216.9,63.322,14450,13350,14450,13350,2359.08,0,0.487247,15.7923,1.4,1.25643,0.394807,0.91567,13.9167,0.0402
42232.3,64.8778,14450,13350,14450,13350,2349.65,0,0.872588,15.4136,1.4,1.36432,0.38534,0.917607,14.3787,0.0468
42250.4,55.2517,14450,13350,14450,13350,2338.67,1,0.325063,18.099,1.68,1.49102,0.452475,0.903963,16.9463,0.0404
42267.3,59.4916,14450,13350,14450,13350,2328.57,0,0.74529,16.8091,1.68,1.60868,0.420227,0.910491,14.4893,0.0399
42282,67.7718,14450,13350,14450,13350,2319.77,1,0.114175,14.7554,1.96,1.71197,0.368885,0.920982,13.7272,0.0421
42298.6,60.192,14450,13350,14450,13350,2309.94,0,0.529513,16.6135,1.96,1.82826,0.415338,0.911485,14.6979,0.0434
42313.4,67.8914,14450,13350,14450,13350,2301.29,0,0.897748,14.7294,1.96,1.93137,0.368235,0.921116,13.7134,0.0328
42329,63.881,14450,13350,14450,13350,2292.18,1,0.2891,15.6541,2.24,2.04095,0.391353,0.916377,14.5936,0.0476
42344.6,64.274,14450,13350,14450,13350,2283.19,0,0.67806,15.5584,2.24,2.14986,0.38896,0.916866,13.5376,0.041
42359.5,66.7521,14450,13350,14450,13350,2274.6,1,0.05258,14.9808,2.52,2.25472,0.37452,0.919825,13.9578,0.0426
42378.4,53.0105,14450,13350,14450,13350,2263.88,0,0.524185,18.8642,2.52,2.38677,0.471605,0.900112,16.837,0.0518
42402,42.4805,14450,13350,14450,13350,2250.64,1,0.11269,23.5402,2.8,2.55155,0.588505,0.876936,21.7844,0.0565
42429.7,36.0912,14450,13350,14450,13350,2235.25,0,0.80538,27.7076,2.8,2.74551,0.69269,0.856784,24.1302,0.0444
42444.7,66.6738,14450,13350,14450,13350,2227,1,0.18034,14.9984,3.08,2.8505,0.37496,0.919735,13.7557,0.0457
42460.9,61.4379,14450,13350,14450,13350,2218.13,0,0.587255,16.2766,3.08,2.96443,0.406915,0.9132,14.2211,0.0475
42476.3,64.9891,14450,13350,14450,13350,2209.8,0,0.971935,15.3872,3.08,3.07214,0.38468,0.917742,13.9552,0.0616
42491,68.1343,14450,13350,14450,13350,2201.92,1,0.338858,14.6769,3.36,3.17488,0.366922,0.921386,13.5514,0.075
42506.5,64.5082,14450,13350,14450,13350,2193.65,0,0.726405,15.5019,3.36,3.28339,0.387547,0.917155,13.5256,0.0406
42522.4,62.7892,14450,13350,14450,13350,2185.22,1,0.124563,15.9263,3.64,3.39488,0.398158,0.914986,14.8864,0.0479
42539.4,59.0186,14450,13350,14450,13350,2176.33,0,0.548158,16.9438,3.64,3.51348,0.423595,0.909807,14.417,0.0357
42555.6,61.5908,14450,13350,14450,13350,2167.87,0,0.954063,16.2362,3.64,3.62714,0.405905,0.913406,15.2418,0.0408
42572.2,60.1471,14450,13350,14450,13350,2159.28,1,0.36971,16.6259,3.92,3.74352,0.415648,0.911422,15.651,0.0367
42592.6,49.0986,14450,13350,14450,13350,2148.85,0,0.87889,20.3672,3.92,3.88609,0.50918,0.892597,18.4208,0.0476
42607.9,65.3432,14450,13350,14450,13350,2141.07,1,0.261485,15.3038,4.2,3.99322,0.382595,0.918169,13.9146,0.0348
42639.1,32.0405,14450,13350,14450,13350,2125.39,1,0.0417475,31.2105,4.48,4.21169,0.780262,0.840204,29.243,0.0444
42655,62.7569,14450,13350,14450,13350,2117.48,0,0.44011,15.9345,4.48,4.32323,0.398362,0.914944,13.9302,0.0436
42669.9,67.1704,14450,13350,14450,13350,2110.13,0,0.812298,14.8875,4.48,4.42744,0.372187,0.920304,13.8763,0.0392
42687,58.7717,14450,13350,14450,13350,2101.8,1,0.237672,17.015,4.76,4.54655,0.425375,0.909446,15.7085,0.0447
