t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
50626.8,5.49077,13450,12050,13450,12050,659.108,5,0.243535,182.124,1.32201,1.1102,4.55309,0.362042,169.278,0.4796,2.9531,5.4725,147.142,0.0298
50768.6,7.05535,13450,12050,13450,12050,652.135,3,0.786947,141.736,2.16201,2.10236,3.54341,0.453532,121.363,0.4611,2.9486,6.2992,99.6942,0.0294
50893.4,8.01236,13450,12050,13450,12050,646.116,3,0.907127,124.807,3.00201,2.97601,3.12018,0.498452,112.905,0.4369,2.8719,5.5291,92.4323,0.023
51070.7,5.64043,13450,12050,13450,12050,637.755,5,0.339417,177.292,4.40201,4.21705,4.43229,0.371935,125.338,0.4523,3.085,8.2669,101.044,0.0275
51211.6,7.0947,13450,12050,13450,12050,631.26,3,0.863175,140.95,5.24201,5.2037,3.52376,0.455525,119.582,0.4561,2.9743,5.7608,98.8257,0.0237
51367.9,6.39783,13450,12050,13450,12050,624.21,4,0.770752,156.303,0.362016,0.297826,3.90758,0.418135,144.552,0.452,3.001,5.5438,123.577,0.0431
51497.7,7.70386,13450,12050,13450,12050,618.475,4,0.01588,129.805,1.48202,1.20646,3.24513,0.484746,114.629,0.4152,2.9496,6.3463,93.0878,0.0247
51623.4,7.9591,13450,12050,13450,12050,613.022,3,0.15694,125.642,2.32202,2.08596,3.14106,0.496135,112.244,0.4279,2.8574,5.4777,91.4634,0.0303
51747.9,8.02993,13450,12050,13450,12050,607.712,3,0.270292,124.534,3.16202,2.9577,3.11335,0.499212,113.533,0.5159,2.8708,5.4532,93.0652,0.0289
51882.2,7.44687,13450,12050,13450,12050,602.088,3,0.627407,134.285,4.00202,3.89769,3.35712,0.472783,122.19,0.4484,2.8627,5.7857,101.586,0.0252
